"job_id","job_title","salary_year_avg","job_posted_date","copmany_name","skills"
751459,"Data Analyst","111175.0","2023-07-03 17:14:53","Lely","tableau"
1112483,"Material Master Data Analyst","111175.0","2023-02-14 18:42:48","Lucid Motors","excel"
1112483,"Material Master Data Analyst","111175.0","2023-02-14 18:42:48","Lucid Motors","word"
1112483,"Material Master Data Analyst","111175.0","2023-02-14 18:42:48","Lucid Motors","sap"
1112483,"Material Master Data Analyst","111175.0","2023-02-14 18:42:48","Lucid Motors","outlook"
1321251,"Data Analyst with Private banking background","111175.0","2023-07-08 16:16:59","Talan","power bi"
890587,"Data Analyst Team Leader","111175.0","2023-02-15 08:34:55","Ninja Van","sql"
890587,"Data Analyst Team Leader","111175.0","2023-02-15 08:34:55","Ninja Van","power bi"
138295,"Data Analyst, Developer Relations","111175.0","2023-01-26 03:04:13","Adyen","sql"
138295,"Data Analyst, Developer Relations","111175.0","2023-01-26 03:04:13","Adyen","python"
138295,"Data Analyst, Developer Relations","111175.0","2023-01-26 03:04:13","Adyen","r"
138295,"Data Analyst, Developer Relations","111175.0","2023-01-26 03:04:13","Adyen","go"
138295,"Data Analyst, Developer Relations","111175.0","2023-01-26 03:04:13","Adyen","matlab"
138295,"Data Analyst, Developer Relations","111175.0","2023-01-26 03:04:13","Adyen","looker"
245409,"SAP Data Analyst","111175.0","2023-07-08 04:17:27","Méthode Srl","sql"
245409,"SAP Data Analyst","111175.0","2023-07-08 04:17:27","Méthode Srl","oracle"
245409,"SAP Data Analyst","111175.0","2023-07-08 04:17:27","Méthode Srl","sap"
1324347,"Director of Business Intelligence","105300.0","2023-07-18 15:39:13","FareHarbor","sql"
1324347,"Director of Business Intelligence","105300.0","2023-07-18 15:39:13","FareHarbor","python"
1324347,"Director of Business Intelligence","105300.0","2023-07-18 15:39:13","FareHarbor","express"
1324347,"Director of Business Intelligence","105300.0","2023-07-18 15:39:13","FareHarbor","tableau"
1324347,"Director of Business Intelligence","105300.0","2023-07-18 15:39:13","FareHarbor","power bi"
312839,"Service Parts Data Analyst","105000.0","2023-06-22 18:28:14","Lucid Motors","excel"
312839,"Service Parts Data Analyst","105000.0","2023-06-22 18:28:14","Lucid Motors","sap"
312839,"Service Parts Data Analyst","105000.0","2023-06-22 18:28:14","Lucid Motors","powerpoint"
312839,"Service Parts Data Analyst","105000.0","2023-06-22 18:28:14","Lucid Motors","outlook"
312839,"Service Parts Data Analyst","105000.0","2023-06-22 18:28:14","Lucid Motors","ms access"
1549213,"Data Analyst Executive","102500.0","2023-03-14 19:28:18","Ninja Van","power bi"
834533,"Data Analyst - Product Team","102500.0","2023-04-28 20:19:24","Satispay","sql"
834533,"Data Analyst - Product Team","102500.0","2023-04-28 20:19:24","Satispay","python"
834533,"Data Analyst - Product Team","102500.0","2023-04-28 20:19:24","Satispay","r"
834533,"Data Analyst - Product Team","102500.0","2023-04-28 20:19:24","Satispay","tableau"
834533,"Data Analyst - Product Team","102500.0","2023-04-28 20:19:24","Satispay","looker"
156658,"Data Analyst","102500.0","2023-05-03 23:41:44","Adevinta","sql"
156658,"Data Analyst","102500.0","2023-05-03 23:41:44","Adevinta","python"
156658,"Data Analyst","102500.0","2023-05-03 23:41:44","Adevinta","azure"
156658,"Data Analyst","102500.0","2023-05-03 23:41:44","Adevinta","aws"
805174,"Data Analyst","100500.0","2023-05-26 09:30:41","iGenius","sql"
805174,"Data Analyst","100500.0","2023-05-26 09:30:41","iGenius","python"
805174,"Data Analyst","100500.0","2023-05-26 09:30:41","iGenius","r"
805174,"Data Analyst","100500.0","2023-05-26 09:30:41","iGenius","crystal"
805174,"Data Analyst","100500.0","2023-05-26 09:30:41","iGenius","bigquery"
805174,"Data Analyst","100500.0","2023-05-26 09:30:41","iGenius","tableau"
805174,"Data Analyst","100500.0","2023-05-26 09:30:41","iGenius","qlik"
431450,"Junior Data Analyst","100500.0","2023-08-15 22:28:02","Katalon","sql"
431450,"Junior Data Analyst","100500.0","2023-08-15 22:28:02","Katalon","python"
431450,"Junior Data Analyst","100500.0","2023-08-15 22:28:02","Katalon","looker"
431450,"Junior Data Analyst","100500.0","2023-08-15 22:28:02","Katalon","word"
726941,"Data Analyst - Vegetables","98500.0","2023-02-04 09:07:53","Syngenta Group","sql"
726941,"Data Analyst - Vegetables","98500.0","2023-02-04 09:07:53","Syngenta Group","python"
726941,"Data Analyst - Vegetables","98500.0","2023-02-04 09:07:53","Syngenta Group","java"
726941,"Data Analyst - Vegetables","98500.0","2023-02-04 09:07:53","Syngenta Group","r"
